odor	ריח
trolleybus	טרוליבוס
trautonium	טראוטוניום
melodifestivalen	מלודיפסטיבלן
weltschmerz	ולטשמרץ
azathioprine	אזתיופרין
vlorë	ולורה
connemara	קונמארה
qumran	קומראן
remingtonocetidae	רמינגטונוצטיים
okra	במיה
skua	חמסניים
zirconium	זירקוניום
apep	אפפ
wuppertal	וופרטל
cuculiformes	קוקיתאים
sozopol	סוזופול
avgolemono	אבגולמונו
turnip	לפת
ethanethiol	אתאנתיול
cleon	קליאון
hypercholesterolemia	היפרכולסטרולמיה
shanxi	שאנשי
rhombohedron	מעוינון
scientism	מדענות
subjectivity	סובייקטיביות
tacloban	טקלובן
sakoku	סאקוקו
cratylus	קראטילוס
dardani	דרדניה
astarte	עשתרת
chondrodite	כונדרודיט
monopsony	מונופסון
koutammakou	קוטמאקו
topiramate	טופירמאט
poaching	שליקה
teicher	טייכר
pago	פאגו
crudités	קרודיטה
laurasia	לאוראסיה
homophone	הומופון
magnificat	מגניפיקט
homophony	הומופוניה
krekenava	קרקינובה
rototom	רוטוטום
otzem	עוצם
reactionary	ריאקציה
syllable	הברה
hukok	חוקוק
rumor	שמועה
melqart	מלקרת
butoh	בוטו
erysimum	אריסימון
iodometry	יודומטריה
ununoctium	אונונאוקטיום
pollination	האבקה
melechesh	מלכאש
ningxia	נינגשיה
cissonius	קיסוניוס
mintaka	מינטקה
kunoy	קונוי
ebraucus	אבראוקוס
castling	הצרחה
phenakite	פנאקיט
mating	הזדווגות
oberon	אוברון
cellulitis	צלוליטיס
dione	דיוני
hazing	זובור
daireaux	דאיראיאוקס
catfish	קאטפיש
pendik	פנדיק
aeschylus	אייסכילוס
ahaz	אחז
neutralino	נייטרלינו
vortex	מערבולת
magnetization	מגנוט
hydrography	הידרוגרפיה
neoscona	נאוסקונה
barranquilla	ברנקייה
nominalism	נומינליזם
travian	טרוויאן
tangram	טנגרם
dniester	דניסטר
xenophily	קסנופיליה
idiolect	אידיולקט
philolaus	פילולאוס
spätzle	שפצלה
paging	דפדוף
fentanyl	פנטניל
khami	חאמי
valparaíso	ולפראיסו
peridot	פרידוט
archilochus	ארכילוכוס
minbar	מינבר
gavotte	גבוט
pentaquark	פנטאקווארק
epidermis	אפידרמיס
pedieos	פדיאוס
zebu	זבו
laertes	לארטס
rolleiflex	רוליפלקס
xylene	קסילן
serifos	סריפוס
hyperammonemia	היפראמונמיה
kazoku	קזוקו
chocolatier	שוקולטייר
baoding	באודינג
neukölln	נויקלן
smegma	סמגמה
petrópolis	פטרופוליס
carding	ניפוץ
marotte	מרוט
ocarina	אוקרינה
cartouche	קרטוש
salzkammergut	זאלצקמרגוט
lanval	לנבל
gottex	גוטקס
provolone	פרובולונה
qabatiya	קבטיה
sepiolite	ספיוליט
crumhorn	קרומהורן
endogamy	אנדוגמיה
bârlad	ברלאד
counterpoint	קונטרפונקט
abetalipoproteinemia	אבטאליפופרוטאינמיה
surtsey	סירטסיי
hastati	האסטאטים
sillimanite	סילימניט
teleprinter	טלפרינטר
phycology	פיקולוגיה
illyria	איליריה
zealotry	קנאים
veteris	וטריס
moloch	מולך
parasaurolophus	פרזאורולופוס
newsweek	ניוזוויק
newspeak	שיחדש
dormancy	תרדמה
mattimeo	מטימאו
mokosh	מוקוש
cubism	קוביזם
curium	קוריום
muki	מוקי
narcissism	נרקיסיזם
dichloromethane	דיכלורומתאן
isoleucine	איזולאוצין
pontederiaceae	פונטדריים
synecdoche	סינקדוכה
abraha	אברהא
troglobite	טרגלוביטים
cinéorama	סינאורמה
cidofovir	סידופוביר
citypoint	סיטיפוינט
bibliometrics	ביבליומטריקה
ultrabook	אולטראבוק
futurism	פוטוריזם
chitin	כיטין
chiton	כיטון
dhahran	דהראן
tinamou	טינמיים
khotyn	חוטין
vibrator	ויברטור
keratoconus	קרטוקונוס
pleistocene	פליסטוקן
velebit	ולביט
stradivarius	סטרדיוואריוס
xenarthra	דלשינאים
oltenia	אולטניה
dysthymia	דיסתימיה
anthophyllite	אנתופיליט
camembert	קממבר
kiruna	קירונה
bilge	שיפוליים
donatism	דונאטיזם
kalmius	קלמיוס
vicuña	ויקוניה
mercantilism	מרקנטיליזם
mineralogy	מינרלוגיה
arcturus	ארקטורוס
fibula	שוקית
cataract	קטרקט
concordance	קונקורדנציה
lekenik	לקניק
muqeible	מוקייבלה
sarno	סרנו
sagres	סגרש
elrond	אלרונד
polytetrafluoroethylene	טפלון
yiruma	יירומה
doggerland	דוגרלנד
biphobia	ביפוביה
biota	ביוטה
zeitgeber	צייטגבר
transdanubia	טרנסדנוביה
agathonisi	אגתוניסי
panforte	פנפורטה
centimorgan	סנטימורגן
disappointment	אכזבה
quadriga	קוודריגה
tepic	טפיק
radiobiology	רדיוביולוגיה
alalakh	אללח
gevim	גבים
geoid	גאואיד
gevil	גוויל
uncyclopedia	איןציקלופדיה
morphogen	מורפוגן
tautology	טאוטולוגיה
anammox	אנמוקס
kefir	קפיר
lje	љ
székelys	סקלרים
somatization	סומטיזציה
shyness	ביישנות
separatrix	ספרטריקס
yukos	יוקוס
portico	פורטיקו
fansub	פאנסאב
airbrush	איירבראש
leoben	לאובן
dahaniya	דהנייה
googoosh	גוגוש
yoshitoshi	יושיטושי
orthrus	אורתוס
siderite	סידריט
gje	ѓ
rammal	רמאל
partita	פרטיטה
pescetarianism	פסקטריאניזם
netivot	נתיבות
radnevo	ראדנבו
quodlibet	קוודליבט
framing	מסגור
honshu	הונשו
cadmium	קדמיום
yemenia	ימנייה
huangshan	חואנגשאן
osteoclast	אוסטאוקלסט
scarabaeidae	זבליתיים
luciferase	לוציפראז
rhacophoridae	רקופוריים
guitarist	גיטריסט
sambation	סמבטיון
benben	בנבן
matroska	מטרוסקה
fandub	פאנדאב
perestroika	פרסטרויקה
bittorrent	ביטורנט
biłgoraj	בילגוריי
mantling	מעטה
promagistrate	פרומגיסטראט
conviction	הרשעה
hyracotherium	איוהיפוס
tantrix	טנטריקס
tahini	טחינה
ovida	אובידה
nitrome	נייטרום
tarvisio	טרוויזיו
uranus	אורנוס
triiodothyronine	תריודוטירונין
sephadex	ספדקס
koto	קוטו
kampala	קמפלה
yodfat	יודפת
yazidi	יזידים
fulda	פולדה
limousine	לימוזינה
iguanodon	איגואנודון
consentidos	מפונקים
damselfly	שפריריות
domination	דומיננטי
agranulocytosis	אגרנולוציטוזיס
monoglyceride	מונוגליצריד
geomorphology	גאומורפולוגיה
hypocrisy	צביעות
isperih	איספריך
nurikabe	נוריקבה
heraclitus	הרקליטוס
sphingolipid	ספינגוליפיד
icaunis	איקאוניס
fezzan	פזאן
yazoo	יאזו
suhmata	סוחמאתא
epimetheus	אפימתאוס
osroene	אוסרואנה
kiviak	קיוויאק
nyotaimori	ניוטאימורי
khorumi	חורומי
cyclothymia	ציקלותימיה
allicin	אליצין
cornea	קרנית
tecsar	טכסאר
tortola	טורטולה
drambuie	דרמבוי
ternitz	תרניץ
ternate	טרנאטה
kaleidoscope	קליידוסקופ
cocorosie	קוקורוזי
ibzan	אבצן
gorgonzola	גורגונזולה
liliaceae	שושניים
moroi	מורוי
asthenosphere	אסתנוספירה
geonim	גאונים
cyberchondria	סייברכונדריה
potočari	פוטוקרי
thesmophoria	תסמופוריה
poprad	פופרד
citral	ציטראל
minidisc	מינידיסק
molsheim	מולצהיים
pinales	מחטיים
photophobia	פוטופוביה
parquetry	פרקט
ginaton	גנתון
hylidae	אילניתיים
havok	האבוק
baryonyx	בריוניקס
deinosuchus	דיינוסוכוס
imine	אימין
futsal	קטרגל
holarchy	הולרכיה
cantata	קנטטה
căpcăun	קפקאון
threskiornithidae	כפניים
demosthenes	דמוסתנס
minuet	מינואט
robinho	רוביניו
scorpions	סקורפיונז
mahayana	מהאיאנה
makarapa	מקאראפה
prognosis	פרוגנוזה
avionics	אוויוניקה
revivim	רביבים
amputation	קטיעה
gamalama	גמאלמה
sabaton	סבטון
boil	פורונקל
husaberg	הוסאברג
herbivore	הרביוור
aioli	איולי
matbucha	מטבוחה
naftogaz	נפטוגז
yakushima	יקושימה
spitting	יריקה
calzone	קלצונה
pinguicula	חמאית
radiator	רדיאטור
meniscus	מניסקוס
esna	איסנא
fronde	פרונד
gigantopithecus	גיגנטופיתקוס
busted	באסטד
kabuki	קבוקי
sisera	סיסרא
kalverstraat	קלוורסטראט
abemama	אבמאמה
aristocracy	אריסטוקרטיה
hectare	הקטאר
neptunium	נפטוניום
pilpul	פלפול
spathiphyllum	ספטיפיליום
carignan	קריניאן
tursu	טורשי
rosatom	רוסאטום
kalamos	קאלאמוס
abayudaya	אבאיודאייה
playgirl	פלייגרל
raí	ראיי
gaf	گ
oar	משוט
malva	חלמית
balvi	בלבי
sinterklaas	סינטרקלאס
zav	זב
amygdaloideae	שזיפיים
noctuidae	תנשמיתיים
mammaprint	ממפרינט
zmeu	זמאו
gangnihessou	גנגניהסו
phronesis	פרונסיס
cotonou	קוטונו
armazi	ארמזי
larva	פגית
cuauhtémoc	קואוטמוק
fanzine	פנזין
tarbikha	תרביחא
nashi	נאשי
polyomino	פוליאומינו
sauroposeidon	זאורופוסידון
goiânia	גואיאניה
polyamine	פוליאמין
razorlight	רייזורלייט
hafnarfjörður	הפנרפיירדיר
braconidae	ברקוניים
amphipoda	שטצדאים
springbok	דלגן
sparklehorse	ספרקלהורס
halva	חלבה
varve	ורוות
diopside	דיופסיד
discriminant	דיסקרימיננטה
nordhausen	נורדהאוזן
heteronormativity	הטרונורמטיביות
hypertrichosis	היפרטריכוזיס
płock	פלוצק
gastrin	גסטרין
tadpole	ראשן
portamento	פורטמנטו
herrenchiemsee	הרנכימזה
ezuz	עזוז
exocytosis	אקסוציטוזה
samovar	סמובר
sirtaki	סירטאקי
yangban	יאנגבאן
pineapple	אננס
moritasgus	מוריטאסגוס
pimpinella	כמנון
vaporetto	ואפורטו
scutellum	מגנית
cotopaxi	קוטופקסי
nelspruit	נלספרייט
tzrifin	צריפין
cassander	קסנדרוס
compost	דשונת
paraprosdokian	פרפראזדוקיאן
hashish	חשיש
alkylation	אלקילציה
solarisation	סולריזציה
cachaça	קשאסה
sölden	זולדן
utopia	אוטופיה
sesiidae	זכוכעשיים
psychodrama	פסיכודרמה
bibliomania	ביבליומאניה
titania	טיטניה
interleukin	אינטרלויקין
spatharios	ספטאר
ischia	איסקיה
hekatonkheires	הקאטונכרים
asthma	אסתמה
tryptophan	טריפטופן
harutzim	חרוצים
nosean	נוסאן
drupal	דרופל
ichthyosaur	איכתיוזאוריה
menander	מנאנדרוס
biochemistry	ביוכימיה
fallschirmjäger	פאלשירמייגר
milkshake	מילקשייק
oppidum	אופידום
britannicus	בריטניקוס
calcitriol	קלציטריול
basingstoke	בייסינגסטוק
mancala	מנקלה
pangram	פנגרם
psychoneuroimmunology	פסיכונוירואימונולוגיה
ornithology	אורניתולוגיה
climograph	קלימוגרף
arwad	ארוד
republicanism	רפובליקניזם
dryad	דריאדה
priam	פריאמוס
lacoste	לקוסט
sautéing	הקפצה
octonion	אוקטוניונים
ilvaite	אילוואיט
tumulus	רוגם
wikiquote	ויקיציטוט
bombinatoridae	בומביניים
ceratosauria	צרטוזאוריה
sphalerite	ספלריט
ecocentrism	אקוצנטריות
robor	רובור
mashpia	משפיע
anglesey	אנגלסי
deflation	דפלציה
alabaster	אלבסטר
synchrotron	סינכרוטרון
gomphotherium	טרילופודון
einsteinium	איינשטייניום
homotherium	הומוטריום
iapetus	יאפטוס
solon	סולון
arbeitsdorf	ארבייטסדורף
isetta	איזטה
larfleeze	לארפליז
thespis	תספיס
pelusium	פלוסיום
stellarium	סטלאריום
daphnia	דפניה
mefalsim	מפלסים
belper	בלפר
bucephalus	בוקפאלוס
conakry	קונאקרי
pentarchy	פנטרכיה
dönmeh	דונמה
hydrometer	הידרומטר
crumble	קרמבל
surgut	סורגוט
psychodynamics	פסיכודינמיקה
yūrei	יוריי
logos	לוגוס
grapefruit	אשכולית
peshitta	פשיטתא
muktuk	מאקטאק
tremolite	טרמוליט
maniche	מאניש
streptomycin	סטרפטומיצין
koror	קורור
diorama	דיורמה
volos	וולוס
commodus	קומודוס
amirim	אמירים
acromegaly	אקרומגליה
rakovski	ראקובסקי
gado	גאדו
guadiana	גוודיאנה
guayaquil	גואיאקיל
zakāt	זכאה
climatology	קלימטולוגיה
glyptodon	גליפטודון
pheochromocytoma	פאוכרומוציטומה
hipparchus	היפרכוס
loki	לוקי
tephra	טפרה
boudica	בודיקיאה
serravalle	סראוואלה
violaceae	סגליים
téglás	טגלאש
hermaphrodite	הרמפרודיט
falsetto	פלסט
bodhidharma	בודהידהרמה
millstone	רחיים
ulla	עולא
pauleta	פאולטה
björk	ביורק
rhenium	רניום
paradoxosomatidae	רבגפיים
prospectus	תשקיף
cortisol	קורטיזול
bochnia	בוכניה
mlilot	מלילות
misanthropy	מיזנתרופיה
boogeyman	בוגימן
gayatri	גאיטרי
araunah	ארוונה
totalitarianism	טוטליטריזם
shadowgraph	שדוגרפיה
timbaland	טימבלנד
lillet	לילט
colargol	קולרגול
diverticulosis	דיברטיקולוזיס
kaunan	קאונן
hafnon	הפנון
strabismus	פזילה
maestà	מאסטה
tannin	טאנין
sunflower	חמנית
parsec	פארסק
butane	בוטאן
hammock	ערסל
mutase	מוטאז
palalottomatica	פאלאלוטומטיקה
hypsilophodon	היפסילופודון
yggdrasil	יגדראסיל
srinagar	סרינגאר
histogram	היסטוגרמה
tiresias	טירסיאס
bayán	באיאן
critias	קריטיאס
brukhin	ברוכין
zoopraxiscope	זואופרקסיסקופ
tetnuldi	תתנולד
sanidine	סנידין
asmara	אסמרה
magnetar	מגנטר
syncom	סינקום
petrushka	פטרושקה
sauropsida	זאורופסידה
essaouira	אסואירה
thorite	תוריט
shoti	שותי
matriarchy	מטריארכיה
megophryidae	מגופריים
thoth	תחות
shutu	סותו
macrinus	מקרינוס
calotype	קלוטייפ
osiris	אוזיריס
sigmoidoscopy	סיגמואידוסקופיה
satrap	אחשדרפן
nilmar	נילמר
izanagi	איזאנגי
žagarė	זאגר
gratian	גרטיאנוס
clickair	קליקאייר
croesus	קרויסוס
ardbeg	ארדבג
rohatyn	רוהאטין
sarissa	סריסה
scurvy	צפדינה
ashtray	מאפרה
mooning	מונינג
monophysitism	מונופיזיטיזם
gusli	גוסלי
lukla	לוקלה
quill	קולמוס
henotheism	הנותאיזם
bioluminescence	ביולומינסנציה
probot	פרובוט
buckwheat	כוסמת
mekupelet	מקופלת
monopoli	מונופולי
castrato	קסטרטו
maisit	מסית
bloemenmarkt	בלומנמארקט
mycology	מיקולוגיה
implicature	אימפליקטורה
powerball	פאוורבול
probiotic	פרוביוטיקה
ciconiiformes	חסידאים
hypersthene	היפרסתן
vesuvianite	וזוביאניט
poikilotherm	הטרותרמיות
oxymoron	אוקסימורון
noho	נוהו
valentinianism	ולנטיניזם
lidwina	לידווינה
akbara	עכברה
vedanga	ודאנגה
mnemonic	מנמוניקה
ibisbill	אבידיתיים
hirsutism	הירסוטיזם
convolvulaceae	חבלבליים
dildo	דילדו
farbrengen	התוועדות
salgótarján	שאלגוטאריאן
politician	פוליטיקאי
stratosphere	סטרטוספירה
sundsvall	סונדסוואל
generalife	חנרליפה
urbanization	עיור
toluene	טולואן
kabosy	קאבוסי
mizoram	מיזוראם
photolithography	פוטוליתוגרפיה
helicase	הליקאז
reggae	רגאיי
broussonetia	ברוסונתיה
demeter	דמטר
slivovitz	סליבוביץ
octagon	מתומן
spodik	ספודיק
wikibooks	ויקיספר
żubrówka	זוברובקה
disphenoid	יתדון
staszów	סטשוב
åkermanite	אקרמניט
chasmosaurus	כסמוזאור
xidi	שידי
pringles	פרינגלס
stalinism	סטליניזם
tipi	טיפי
carissa	קאריסה
labello	לבלו
reggaeton	רגאטון
antsiranana	אנטסירננה
aenesidemus	אנסידמוס
dili	דילי
karandash	קרנדאש
flirting	פלירט
kannot	כנות
denudation	חסיפה
fontographer	פונטוגרפר
charité	שריטה
pliocene	פליוקן
poltergeist	פולטרגייסט
craton	קראטון
agatharchides	אגאתרכידס
viroid	וירואיד
diplomat	דיפלומט
isomaltulose	איזומלטולוז
friedrichstraße	פרידריכשטראסה
entomology	אנטומולוגיה
astigmatism	אסטיגמציה
diplodocid	דיפלודוקיים
bilbeis	בילביס
celery	סלרי
eupolis	אאופוליס
pomelo	פומלו
seigniorage	סניוראז
soweto	סווטו
rivallo	ריבאלו
nomos	נומוס
halliwick	הליוויק
nashorn	נאזהורן
bougainvillea	בוגנוויליה
honfleur	אונפלר
achaemenes	האחמניש
prop	פרופס
bloomsday	בלומסדיי
trotskyism	טרוצקיזם
tolentini	טולנטיני
charites	חאריטות
memantine	ממנטין
lycopene	ליקופן
lent	התענית
asenovgrad	אסנובגראד
shufersal	שופרסל
isatis	איסטיס
monza	מונצה
hematospermia	המטוספרמיה
bagheera	בגירה
euglenid	עינניות
rambutan	רמבוטן
mascaron	מסקרון
massawa	מאסאווה
hashminiya	השמיניה
teletubbies	טלטאביז
alcman	אלקמן
splenectomy	ספלנקטומיה
fundamentalism	פונדמנטליזם
chiropractic	כירופרקטיקה
phenols	פנולים
pindus	פינדוס
cursed	הקללה
polymyositis	פולימיוזיטיס
courmayeur	קורמאיור
joselito	חוזליטו
heterosexism	הטרוסקסיזם
awasa	אווסה
lansoprazole	לנסופרזול
necktie	עניבה
sierpc	שרפץ
tuff	טוף
chronobiology	כרונוביולוגיה
otepää	אוטפה
porphyroblast	פורפירובלסט
edfu	אדפו
schizophrenia	סכיזופרניה
colophon	קולופון
tabot	תבות
megalosaurus	מגלוזאורוס
kazoo	קאזו
hagor	חגור
parom	פארום
payot	פאות
sanok	סאנוק
pinterest	פינטרסט
biochemist	ביוכימאי
reşiţa	רשיצה
yedida	ידידה
nahor	נחור
baloo	באלו
dagon	דגון
davos	דאבוס
lahoh	לחוח
kata	קאטה
bronzite	ברונזיט
nayot	ניות
naxos	נקסוס
colubridae	זעמניים
likud	הליכוד
titlis	טיטליס
pharmacopoeia	פרמקופיאה
hallstatt	האלשטאט
azeotrope	אזיאוטרופ
piauí	פיאאוי
dúnedain	דונאדין
proceratosaurus	פרוצרטוזאור
vinux	וינוקס
gorizia	גוריציה
soroti	סורוטי
thapsacus	תפסח
zagor	זאגור
involution	אינוולוציה
metzitzim	מציצים
hypochondriasis	היפוכונדריה
khoyniki	חויניקי
neurotypical	נוירוטיפיקל
duloxetine	דולוקסטין
shimshit	שמשית
arianism	אריאניות
pawnbroker	עבוט
madurodam	מדורודם
polygraph	פוליגרף
endosymbiont	אנדוסימביוזה
hydron	הידרון
stendhal	סטנדל
ismaïlia	איסמעיליה
maqluba	מקלובה
korpiklaani	קורפיקלאאני
sărmașu	סרמאשו
photosphere	פוטוספירה
aegisthus	אייגיסתוס
ladytron	ליידיטרון
ponginae	פונגינאים
iveco	איווקו
flax	פשתן
otwock	אוטבוצק
harissa	אריסה
clocolan	קלוקולאן
witchcraft	מכשפה
aegina	אגינה
galop	גאלופ
tehiya	התחיה
haka	האקה
raga	ראגה
unterwalden	אונטרוולדן
phenocryst	פנוקריסט
utilitarianism	תועלתנות
bunraku	בונרקו
pachomius	פכומיוס
almdudler	אלמדודלר
microtia	מיקרוטיה
eraser	מחק
elagabalus	אלאגבאלוס
kahramanmaraş	קהרמאנמרש
toho	טוהו
katzrin	קצרין
mechatronics	מכטרוניקה
aquileia	אקוויליה
islamabad	איסלמבאד
accept	אקספט
squamata	קשקשאים
narikala	נריקלה
pastis	פאסטיס
dragonair	דראגונאייר
zenata	זנאטה
sliema	סליאמה
martensite	מרטנזיט
volute	וולוטה
lenaia	לנאיה
pedaya	פדיה
tokonoma	טוקונומה
osnabrück	אוסנבריק
hollókő	הולוקה
terracycle	טרהסייקל
arcaffe	ארקפה
alcelaphinae	בובאלים
auchenorrhyncha	ציקדות
zoetrope	זואיטרופ
lutetium	לוטציום
stegodon	סטגודון
bosintang	בושינטנג
halomethane	הלומתאן
drakensberg	דראקנסברג
fomalhaut	פומלהוט
bia	ביה
pyrimidine	פירימידין
redonda	רדונדה
hypericaceae	פרעיים
hoverfly	רחפניים
glycosylation	גליקוזילציה
everyman	כלאדם
geopolitics	גאופוליטיקה
tertullian	טרטוליאנוס
lagomorpha	ארנבאים
bénédictine	בנדיקטין
heteronym	הטרונים
inuksuk	אינוקשוק
koprivshtitsa	קופריבשטיצה
sontaran	סונטארים
dragobete	דראגובטה
rhyolite	ריוליט
sleepwalking	סהרוריות
tonalamatl	טונאלמאטל
kenseitō	קנסייטו
tarasque	טאראסק
hussniyya	חוסנייה
exotica	אקזוטיקה
plauen	פלאואן
iesi	יסי
ricochet	נתז
couscous	קוסקוס
alcuin	אלקואין
pyrolite	פירוליט
nearchus	נארכוס
safir	סאפיר
xanthelasma	קסנתלזמה
logogram	לוגוגרמה
leptoconopinae	ברחשים
areopagus	אראופגוס
beatification	מבורך
husk	האסק
brisingr	בריסינגר
cadency	קדנסיה
aviel	אביאל
ivrea	איווריאה
wolleka	ולקה
podestà	פודסטה
emberizidae	גבתוניים
bytom	ביטום
aytos	אייטוס
albacore	אלבקור
microtechnology	מיקרוטכנולוגיה
synod	סינוד
hasapiko	חסאפיקו
lysol	ליזול
chironomus	ימשוש
brahman	ברהמן
coolio	קוליו
moustache	שפם
barnaul	ברנאול
pleo	פליאו
abwehr	אבווהר
bangui	בנגי
escargot	אסקרגו
maceió	מסייאו
cardo	קארדו
rudianos	רודיאנוס
baldr	בלדר
paide	פאידה
avihayil	אביחיל
codeine	קודאין
monoid	מונואיד
raido	ריידו
lathyrus	טופח
tarshish	תרשיש
polarizability	פולריזביליות
skrillex	סקרילקס
vegetarianism	צמחונות
archean	ארכאיקון
isotope	איזוטופ
tosefta	תוספתא
ogmios	אוגמיוס
sashimono	סשימונו
auriculotherapy	אוריקולותרפיה
tushino	טושינו
glossitis	גלוסיטיס
sinusitis	סינוסיטיס
excommunication	נידוי
hyksos	היקסוס
volvocales	וולווקאליים
pointillism	פוינטיליזם
fructokinase	פרוקטוקינאז
microcline	מיקרוקלין
falintil	פלינטיל
benzocaine	בנזוקאין
vlachs	ולאכים
pristina	פרישטינה
canaanism	הכנענים
crna	צרנה
roxette	רוקסט
glacis	חלקלקה
cauliflower	כרובית
palpatine	פלפטין
silovik	סילוביקי
hatshepsut	חתשפסות
renvoi	רנבואה
tocolytic	טוקוליטיקה
amygdala	אמיגדלה
dignitas	דיגניטאס
ethnocentrism	אתנוצנטריות
stromness	סטרומנס
palikir	פליקיר
kópavogur	קואופווגיר
reichsrat	רייכסראט
cannibalism	קניבליזם
pyrrhonism	פירוניזם
liliales	שושנאים
atreus	אטראוס
mennonite	מנוניטים
didymoteicho	דידימוטיכו
simonians	סימוניזם
ontology	אונטולוגיה
quintilian	קוינטיליאנוס
strychnine	סטריכנין
selfishness	אנוכיות
kimberlite	קימברליט
rheumatism	שיגרון
proline	פרולין
requerimiento	רקרימיינטו
amplicon	אמפליקון
daiquiri	דאקירי
snoopy	סנופי
ushpizin	האושפיזין
gooimeer	חוימר
bălți	בלץ
souconna	סוקונה
cytosine	ציטוזין
dyslexia	דיסלקציה
dysprosium	דיספרוסיום
interception	אינטרספשן
craignure	קרייגנור
pretoria	פרטוריה
kapellbrücke	קאפלבריקה
bamako	במקו
homaranismo	הומארניסמו
malabo	מלאבו
bentiu	בנטיו
moskvitch	מוסקביץ
choreography	כוריאוגרפיה
aardwolf	צבועון
kakapo	קאקאפו
bayamo	ביאמו
apoplast	אפופלסט
amirspasalar	אמירספסלר
hahotrim	החותרים
onan	אונן
scoliosis	עקמת
carnelian	קרנליאן
cobamamide	אדנוסילקובלמין
cycloid	ציקלואידה
ismailism	איסמאעיליה
mykonos	מיקונוס
irredentism	אירידנטה
softball	סופטבול
bassinet	עריסה
rodinia	רודיניה
possessed	פוזסט
mylodon	מילודון
paintball	פיינטבול
atavism	אטביזם
zameško	זמשקו
shtulim	שתולים
kirovohrad	קירובוגרד
orthotics	אורתוטיקה
cytosol	ציטוזול
stasi	שטאזי
amanohashidate	אמאנוהשידאטה
cowbell	קאמפאנה
forging	חישול
commelinaceae	קומליניים
phytosociology	פיטוסוציולוגיה
metallicity	מתכתיות
wrocław	ורוצלב
swayamvara	סוואימוארה
cinemascope	סינמסקופ
sufri	צאפריים
parvati	פרוואטי
derbent	דרבנט
departures	פרידות
avebury	אייוובורי
amdocs	אמדוקס
phryne	פרינה
odoacer	אודואקר
maghemite	מגהמיט
phenolphthalein	פנולפתלאין
cessetani	קוסטנים
meiser	מייסר
crinoline	קרינולינה
ophelia	אופליה
heliotrope	הליוטרופ
enkidu	אנכידו
gerousia	גרוסיה
pakicetid	פקיצטיים
darśana	דארשן
progeria	פרוגריה
dammam	דמאם
rechelim	רחלים
clarinet	קלרינט
petrich	פטריץ
tricolour	טריקולור
communitarianism	קהילתנות
ratatouille	רטטוי
tyrosine	טירוזין
recidivism	רצידיביזם
primulaceae	רקפתיים
sorbs	סורבים
geochemistry	גאוכימיה
coiba	קויבה
pentlandite	פנטלנדיט
zakopane	זאקופנה
monogram	מונוגרמה
snoezelen	סנוזלן
ceratopsidae	צרטופסיים
verbenaceae	ורבניים
abtolemus	אבטולמוס
marullus	מארולוס
tinnitus	טיניטוס
pinocytosis	פינוציטוזה
neptunalia	נפטונליה
populares	פופולארים
goulash	גולאש
nordia	נורדיה
vinland	וינלנד
violone	ויולונה
tinsmith	פחח
pułtusk	פולטוסק
mammography	ממוגרפיה
belemnoidea	בלמניטים
chlorine	כלור
habiru	חבירו
teteven	טטוון
ataulf	אטהאולף
oglio	אוליו
lipovans	ליפובנים
telemea	טלמיה
hipgnosis	היפנוסיס
chromite	כרומיט
karyotype	קריוטיפ
quaestor	קוואיסטור
desuetude	דסואטודו
somerled	סומרלד
kazablan	קזבלן
nitpicking	ניטפוק
salfit	סלפית
peduel	פדואל
penuel	פנואל
rectum	חלחולת
gonorrhea	זיבה
alumot	אלומות
pregabalin	פרגאבאלין
alamut	אלמות
germanium	גרמניום
pissaladière	פיסלדייר
haidamaka	היידמקים
dedication	הקדשה
skirt	חצאית
troilite	טרויליט
charlatan	שרלטן
sabian	סביאן
sucralose	סוכרלוז
radian	רדיאן
nasra	נאסרה
laird	ליירד
rēzekne	רזקנה
halogenation	הלוגנציה
bauru	באורו
chrysocolla	כריזוקולה
prosopography	פרוסופוגרפיה
empedocles	אמפדוקלס
stroma	משתית
ululation	צהלולים
ziyarat	זיארה
dalian	דאליין
iasion	יאסיון
hatra	חאטרה
ambrotype	אמברוטייפ
stolperstein	שטולפרשטיין
teucrium	געדה
usability	שמישות
wilhelmstrasse	וילהלמשטראסה
normans	נורמנים
mediumship	תקשור
grunerite	גרונריט
tatoeba	טטואבה
enron	אנרון
suvorovo	סובורובו
deuterium	דאוטריום
frantic	פרנטיק
końskowola	קונסקובולה
trilithon	טריליתון
brazzaville	ברזוויל
adakite	אדקיט
obwalden	אובוולדן
sieniawa	שיניאווה
vangelis	ואנגליס
melanoma	מלנומה
fabeltjeskrant	סיפורימפו
westcot	וסטקוט
cardiacs	קרדיאקס
epidemiology	אפידמיולוגיה
phorusrhacidae	פורוסרקוסיים
proofreading	הגהה
lysithea	ליסיתאה
andalusite	אנדלוזיט
formant	פורמנט
yttrium	איטריום
titanoboa	טיטאנובואה
niflheim	ניפלהיים
chromatophore	כרומטופור
moqueca	מוקקה
cuboctahedron	קובוקטהדרון
tzahala	צהלה
turanism	טוראניזם
maltose	מלטוז
carotenoid	קרוטנואיד
swingman	סווינגמן
hulata	חולתה
ragtime	רגטיים
charales	נאווניתאים
uracil	אורציל
marijampolė	מריאמפול
sigulda	סיגולדה
cerapoda	צרפודה
osteopathy	אוסטאופתיה
bukama	בוקמה
volver	לחזור
musala	מוסלה
dragonforce	דראגונפורס
