girlfriend	女朋友
siegbahn	西格巴恩
harvard	哈佛
barney	巴尼
shevchenko	舍甫琴科
diels	迪尔斯
manu	马努
swan	斯万
penck	彭克
olha	奥莉加
kingston	金斯顿
ehud	埃胡德
fuentes	富恩特斯
ghulam	吴拉姆
bunyan	班揚
baggio	巴乔
abreu	阿布瑞尤
bentham	边沁
dimitri	迪米特里
czesław	切斯瓦夫
hutchinson	哈钦森
dubois	杜布瓦
ceaușescu	齐奥塞斯库
clay	克莱
minkowski	闵可夫斯基
uwe	乌维
driss	德里斯
rui	鲁伊
jesper	耶斯佩尔
malkiel	马尔基尔
claudel	克洛岱爾
angelos	安杰洛斯
prasad	普拉萨德
reddick	雷迪克
ter	特尔
newton	牛顿
sikorski	西科尔斯基
benito	贝尼托
krzysztof	克日什托夫
igor	伊戈尔
dix	迪克斯
dillon	狄龙
yehoshua	约书亚
hannah	汉娜
beckett	贝克特
bernd	贝恩德
donovan	多诺万
baumann	鲍曼
natta	纳塔
egan	伊根
poussin	普桑
gilliam	吉列姆
hammond	哈蒙德
close	克洛斯
cevallos	塞瓦略斯
cuevas	奎瓦斯
salley	萨利
xavier	萨维尔
olsen	奧臣
christa	克里斯塔
canó	坎諾
nadin	那丁
weaver	威佛
hobbes	霍布斯
cartwright	卡特赖特
baines	拜恩斯
sigmund	西格蒙德
brad	布拉德
ravi	拉维
todor	托多尔
joey	喬伊
živković	日夫科维奇
eckhart	艾克哈特
monk	蒙克
enlil	恩利尔
ricky	里基
shumi	舒米
ziegler	齐格勒
arenas	阿里纳斯
mccann	麦坎
alexandros	亚历山德罗斯
solo	索罗
roque	罗克
miquel	米克尔
shakespear	莎士比亚
helmut	赫尔穆特
isabel	伊莎貝
hilton	希爾頓
annette	安妮特
gerd	格尔德
stackhouse	斯塔克豪斯
chick	奇克
schopenhauer	叔本华
chawla	曹拉
rollins	羅林斯
nixon	尼克松
mikhnevich	米赫涅维奇
livingston	利文斯顿
haydn	海顿
clemente	克萊門特
hochschorner	霍赫朔尔纳
shahi	夏希
yusuf	优素福
graves	格雷夫斯
harriman	哈里曼
krystal	克莉絲朵
waters	沃特斯
dylan	迪伦
abalakov	阿巴拉科夫
voronin	沃罗宁
gevorg	格沃尔格
marín	马林
barua	伯鲁阿
low	洛
bateson	贝特森
bates	贝茨
lina	莉娜
gabe	加布
columbus	哥伦布
chambers	钱伯斯
aiken	艾肯
court	考特
minsky	闵斯基
behring	贝林
banderas	班德拉斯
biti	比提
cavalieri	卡瓦列里
boateng	保定
františek	弗朗蒂舍克
marchena	马切纳
manson	曼森
dahl	達爾
bellini	贝利尼
marton	馬頓
salgado	萨尔加多
altıntop	阿尔滕托普
bloom	布鲁姆
leshan	洛杉
lucius	卢基乌斯
evaristo	埃瓦里斯托
schacht	沙赫特
báthory	巴托里
esteban	埃斯特班
bachmann	巴赫曼
ledley	莱德利
fulton	富尔顿
eugenio	尤金尼奥
hofstadter	霍夫施塔特
felipe	菲臘比
ayala	阿亚拉
herz	赫兹
wojciech	沃伊切赫
janko	揚科
edith	伊迪丝
wilcox	威尔考克斯
hagen	哈根
larisa	拉里莎
ewing	尤因
bigler	比格勒
emmanuelle	艾曼紐
etuhu	艾度曉
flanagan	弗拉纳根
olof	奥洛夫
walcott	沃尔科特
dušan	杜辛
della	德拉
márquez	马尔克斯
myers	邁爾斯
vita	维塔
law	劳
alexandrov	亚历山德罗夫
holland	霍蘭
curtin	柯廷
mcgrath	麦格拉斯
tagle	塔格莱
johansson	约翰松
upton	厄普顿
gooden	古登
nikolić	尼科利奇
severus	塞维鲁
zach	扎克
randolph	兰多夫
huggins	哈金斯
mccoy	麥考伊
petković	佩特科维奇
rodrigo	罗德里戈
shannon	香农
djokovic	喬科維奇
josh	喬許
enders	恩德斯
newell	纽维尔
nucci	努奇
senna	塞纳
weil	韦伊
kleinert	克莱纳特
pramoj	巴莫
pound	庞德
chopra	乔普拉
rahimi	拉希米
bazin	巴赞
cassini	卡西尼
kadoorie	嘉道理
mugabe	穆加貝
gilly	基利
barak	巴拉克
bill	比爾
tim	提姆
jeff	杰夫
alexander	亞歷山大
andrew	安德魯
diego	迪亞高
henri	亨利
phil	菲爾
brad	布萊德
robert	羅伯特
jesse	傑西
wilhelm	威廉
oliver	奧利弗
mikhail	米哈伊爾
park	帕克
morris	莫里斯
tyler	泰勒
bruce	布魯斯
alfred	阿爾弗雷德
bob	鮑伯
murphy	梅菲
eduardo	愛德華多
roger	羅傑
herman	赫尔曼
konrad	康拉德
annie	安妮
ricardo	列卡度
joseph	約瑟夫
marcel	马塞尔
wolfgang	沃爾夫岡
emma	埃玛
newton	紐頓
anders	安達斯
gonzalez	冈萨雷斯
nancy	南茜
garcía	加西亞
carlos	卡路士
peter	彼德
rudolf	魯道夫
campbell	坎貝爾
ramon	拉蒙
donald	唐納德
michel	米歇爾
josef	约瑟夫
ludwig	路德維希
ronald	羅納德
iván	伊万
simon	西門
white	懷特
adam	亞當
gustave	古斯塔夫
max	馬克斯
james	詹姆士
jean	讓
christoph	克里斯托弗
jan	揚
ivan	伊凡
lee	李爾
nina	尼娜
dick	狄克
julien	朱利安
martins	马丁斯
mário	马里奥
josé	荷西
frits	弗里茨
douglas	杜格拉斯
manuel	曼努埃爾
hermann	赫爾曼
martin	馬丁
cristian	克里斯蒂安
abel	埃布尔
pavel	帕維爾
boutros	蓋里
ghali	布特羅斯
janković	佐兰
joaquín	祖亞昆
rené	雷內
bradley	巴特利
enlil	那丁
bullard	布拉德
costa	哥斯達
herbert	賀伯特
andreu	安德鲁
goran	戈蘭
nadin	恩利尔
leonard	倫納德
ana	安娜
kohn	科恩
allison	艾莉森
marek	馬歷
ferenc	費倫茨
pat	柏
hopper	霍普
schmitt	施密特
sharpe	夏普
fred	費特
hudson	哈德遜
cedric	塞德里克
bernhard	本哈德
rik	里克
fabien	法比安
luke	盧基
romain	罗曼
césar	塞薩爾
hillary	希拉里
grant	格蘭特
barry	巴瑞
jérôme	熱羅姆
rousseau	卢梭
dale	戴爾
lucien	波拿巴
milan	米蘭
nuno	紐奴
mae	梅
bonaparte	吕西安
blanco	布兰科
godunov	鲍里斯
kate	姬
hilton	希尔顿
taylor	泰萊
hall	霍爾
glenn	格倫
ibrahim	伊巴謙
castro	卡斯度
chuck	恰克
sami	萨米
malcolm	麥爾坎
rebecca	瑞贝卡
jonas	約納斯
natalie	纳塔丽
morrison	摩利遜
scott	史考特
amer	阿米尔
lester	雷斯特
bloch	布洛克
amy	艾美
eva	爱娃
ray	雷伊
alfredo	阿弗雷多
wallace	華萊士
cohen	高漢
laurent	洛宏
perez	佩雷斯
stanisław	斯坦尼斯拉夫
josef	約瑟夫
gustave	居斯塔夫
martin	馬田
james	占士
adam	阿當
josé	若泽
rudolf	赫斯
hermann	赫曼
scott	史葛
rené	連尼
grant	格蘭
