chris	克里斯
czesław	切斯瓦夫
hutchinson	哈钦森
hallett	哈利特
naim	纳伊姆
clay	克莱
tory	托瑞
siegbahn	西格巴恩
huston	休斯頓
manu	马努
airy	艾里
berthold	贝特霍尔德
domingos	多明戈斯
samantha	萨曼莎
cuevas	奎瓦斯
natta	纳塔
sikorski	西科尔斯基
benito	贝尼托
driss	德里斯
claudel	克洛岱爾
gilliam	吉列姆
minkowski	闵可夫斯基
jesper	耶斯佩尔
reddick	雷迪克
ter	特尔
sally	莎莉
prasad	普拉萨德
rui	鲁伊
krzysztof	克日什托夫
newton	牛顿
donovan	多诺万
beckett	贝克特
bernd	贝恩德
hannah	汉娜
rhys	里斯
igor	伊戈尔
dix	迪克斯
close	克洛斯
egan	伊根
libby	利比
malkiel	马尔基尔
dillon	狄龙
poussin	普桑
yehoshua	约书亚
baumann	鲍曼
brad	布拉德
ravi	拉维
arenas	阿里纳斯
sigmund	西格蒙德
serrano	塞拉諾
alexandros	亚历山德罗斯
marduk	马尔杜克
weaver	威佛
canó	坎諾
xavier	萨维尔
cevallos	塞瓦略斯
olsen	奧臣
cartwright	卡特赖特
hale	黑尔
damien	达米恩
angelos	安杰洛斯
ephron	艾芙隆
monk	蒙克
hariri	哈里里
ricky	里基
uwe	乌维
todor	托多尔
miquel	米克尔
ferrero	费雷罗
christa	克里斯塔
roque	罗克
mccann	麦坎
eckhart	艾克哈特
ziegler	齐格勒
živković	日夫科维奇
shakespear	莎士比亚
haydn	海顿
clemente	克萊門特
mikhnevich	米赫涅维奇
shahi	夏希
isabel	伊莎貝
hilton	希爾頓
hochschorner	霍赫朔尔纳
chawla	曹拉
bateson	贝特森
marton	馬頓
gevorg	格沃尔格
low	洛
rollins	羅林斯
nixon	尼克松
salgado	萨尔加多
gooden	古登
marín	马林
abalakov	阿巴拉科夫
upton	厄普顿
dylan	迪伦
rocky	洛基
barua	伯鲁阿
voronin	沃罗宁
krystal	克莉絲朵
graves	格雷夫斯
helmut	赫尔穆特
chick	奇克
huggins	哈金斯
shannon	香农
mccoy	麥考伊
bloom	布鲁姆
dahl	達爾
báthory	巴托里
františek	弗朗蒂舍克
livingston	利文斯顿
minsky	闵斯基
altıntop	阿尔滕托普
marchena	马切纳
bates	贝茨
brook	布鲁克
welsh	威爾許
buñuel	布努埃尔
cavalieri	卡瓦列里
behring	贝林
court	考特
ledley	莱德利
gerd	格尔德
evaristo	埃瓦里斯托
bachmann	巴赫曼
bellini	贝利尼
leshan	洛杉
esteban	埃斯特班
schacht	沙赫特
manning	曼宁
schopenhauer	叔本华
gabe	加布
annette	安妮特
chambers	钱伯斯
aiken	艾肯
columbus	哥伦布
yusuf	优素福
myers	邁爾斯
curtin	柯廷
bacon	培根
bigler	比格勒
janko	揚科
olof	奥洛夫
ewing	尤因
wilcox	威尔考克斯
tagle	塔格莱
felipe	菲臘比
fulton	富尔顿
pound	庞德
hagen	哈根
kleinert	克莱纳特
pramoj	巴莫
walcott	沃尔科特
law	劳
alexandrov	亚历山德罗夫
holland	霍蘭
dušan	杜辛
mcgrath	麦格拉斯
márquez	马尔克斯
ayala	阿亚拉
flanagan	弗拉纳根
eugenio	尤金尼奥
hofstadter	霍夫施塔特
schwarzschild	史瓦西
herz	赫兹
wojciech	沃伊切赫
etuhu	艾度曉
enders	恩德斯
underwood	安德伍德
kadoorie	嘉道理
senna	塞纳
nucci	努奇
djokovic	喬科維奇
josh	喬許
petković	佩特科维奇
bazin	巴赞
nikolić	尼科利奇
monica	莫妮卡
waters	沃特斯
rodrigo	罗德里戈
harriman	哈里曼
rahimi	拉希米
barak	巴拉克
emmanuelle	艾曼紐
larisa	拉里莎
huntington	亨廷頓
chopra	乔普拉
mugabe	穆加貝
gilly	基利
edith	伊迪丝
weil	韦伊
johansson	约翰松
newell	纽维尔
randolph	兰多夫
cassini	卡西尼
severus	塞维鲁
zach	扎克
bill	比爾
tim	提姆
alexander	亞歷山大
andrew	安德魯
diego	迪亞高
henri	亨利
annie	安妮
phil	菲爾
brad	布萊德
robert	羅伯特
jesse	傑西
wilhelm	威廉
morris	莫里斯
oliver	奧利弗
mikhail	米哈伊爾
potter	波特
alfred	阿爾弗雷德
park	帕克
bruce	布魯斯
tyler	泰勒
bob	鮑伯
murphy	梅菲
eduardo	愛德華多
konrad	康拉德
herman	赫尔曼
ricardo	列卡度
roger	羅傑
joseph	約瑟夫
helen	海伦
gardner	加特拿
frits	弗里茨
gonzalez	冈萨雷斯
newton	紐頓
ronald	羅納德
marcel	马塞尔
wolfgang	沃爾夫岡
carlos	卡路士
anders	安達斯
nancy	南茜
garcía	加西亞
peter	彼德
donald	唐納德
campbell	坎貝爾
josef	约瑟夫
white	懷特
del	德爾
ramon	拉蒙
franck	弗兰克
iván	伊万
ludwig	路德維希
rudolf	魯道夫
adam	亞當
gustave	古斯塔夫
jean	讓
jan	揚
michel	米歇爾
max	馬克斯
lee	李爾
ivan	伊凡
james	詹姆士
mário	马里奥
julien	朱利安
cook	库克
martins	马丁斯
abraham	亞伯拉罕
sánchez	山齊士
dick	狄克
josé	荷西
frank	法蘭克
douglas	杜格拉斯
manuel	曼努埃爾
cristian	克里斯蒂安
fabien	法比安
luke	盧基
natalie	纳塔丽
bullard	布拉德
crawford	歌羅馥
bernhard	本哈德
herbert	賀伯特
cedric	塞德里克
wesley	衛斯理
müller	米勒
joshua	乔舒亚
foster	科士打
ferenc	費倫茨
fred	費特
josiah	約書亞
allison	艾莉森
pat	柏
schmitt	施密特
rik	里克
shannon	珊农
sharpe	夏普
hopper	霍普
boutros	蓋里
joaquín	祖亞昆
ghali	布特羅斯
goran	戈蘭
hillary	希拉里
romain	罗曼
marek	馬歷
kohn	科恩
hudson	哈德遜
césar	塞薩爾
adler	艾德勒
sami	萨米
blanco	布兰科
simon	西門
morrison	摩利遜
dale	戴爾
armstrong	阿姆斯壯
lester	雷斯特
chuck	恰克
costa	哥斯達
bradley	巴特利
ibrahim	伊巴謙
craig	格力
glenn	格倫
rebecca	瑞贝卡
jonas	約納斯
amy	艾美
laurent	洛宏
perez	佩雷斯
eva	爱娃
manning	曼寧
bonaparte	吕西安
lucien	波拿巴
malcolm	麥爾坎
amer	阿米尔
milan	米蘭
janković	佐兰
rené	雷內
wallace	華萊士
nuno	紐奴
ray	雷伊
alfredo	阿弗雷多
bloch	布洛克
abel	埃布尔
pavel	帕維爾
cameron	卡梅隆
stanisław	斯坦尼斯拉夫
cohen	高漢
hall	霍爾
castro	卡斯度
leonard	倫納德
kate	姬
hilton	希尔顿
taylor	泰萊
jérôme	熱羅姆
glen	格伦
mae	梅
andreu	安德鲁
barry	巴瑞
ian	艾恩
josef	約瑟夫
gustave	居斯塔夫
james	占士
adam	阿當
josé	若泽
rené	連尼
roger	罗歇
rudolf	赫斯
